Trading Date,Interval Number,Trading Interval,Trading Suspended,Offer Quantity (MWh),Bid Quantity (MWh),Clearing Quantity (MWh),Clearing Price ($/MWh),Extracted At,,,
2021/4/28,48,2021/4/29 7:30,N,2293.358,908.918,24.52,59.18,,2.959,,
2021/4/29,1,2021/4/29 8:00,N,2309.005,820.271,58.755,48.25,,2.4125,,
2021/4/29,2,2021/4/29 8:30,N,2299.035,787.457,58.755,48.25,,2.4125,,
2021/4/29,3,2021/4/29 9:00,N,2296.789,772.043,77.17,48.25,,2.4125,,
2021/4/29,4,2021/4/29 9:30,N,2302.471,741.081,110.059,48.25,,2.4125,,
2021/4/29,5,2021/4/29 10:00,N,2283.868,741.364,117.747,48.25,,2.4125,,
2021/4/29,6,2021/4/29 10:30,N,2255.699,741.844,117.747,48.25,,2.4125,,
2021/4/29,7,2021/4/29 11:00,N,2247.265,713.086,117.747,48.25,,2.4125,,
2021/4/29,8,2021/4/29 11:30,N,2250.316,674.717,118.251,48.25,,2.4125,,
2021/4/29,9,2021/4/29 12:00,N,2249.8,666.51,118.755,48.25,,2.4125,,
2021/4/29,10,2021/4/29 12:30,N,2249.592,690.718,118.755,48.25,,2.4125,,
2021/4/29,11,2021/4/29 13:00,N,2249.433,725.516,118.755,48.25,,2.4125,,
2021/4/29,12,2021/4/29 13:30,N,2253.74,751.769,118.755,48.25,,2.4125,,
2021/4/29,13,2021/4/29 14:00,N,2286.852,749.781,118.755,48.25,,2.4125,,
2021/4/29,14,2021/4/29 14:30,N,2321.23,747.84,118.755,48.25,,2.4125,,
2021/4/29,15,2021/4/29 15:00,N,2300.376,814.481,77.618,48.25,,2.4125,,
2021/4/29,16,2021/4/29 15:30,N,2329.7,854.394,59.473,49.32,,2.466,,
2021/4/29,17,2021/4/29 16:00,N,2323.791,932.283,65.654,49.15,,2.4575,,
2021/4/29,18,2021/4/29 16:30,N,2338.88,990.027,67.605,49.71,,2.4855,,
2021/4/29,19,2021/4/29 17:00,N,2346.825,1048.395,37.556,49.74,,2.487,,
